id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,nama_bank,jumlah_pembayaran,satuan,tahun
106,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,BCA,12983900,RUPIAH,2016
107,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,BNI,15837600,RUPIAH,2016
108,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,BRI,7254700,RUPIAH,2016
109,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,PERMATA,0,RUPIAH,2016
110,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,NIAGA,0,RUPIAH,2016
111,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,BJB,312875600,RUPIAH,2016
112,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,BCA,24294000,RUPIAH,2016
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,BNI,17885200,RUPIAH,2016
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,BRI,165240300,RUPIAH,2016
115,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,PERMATA,0,RUPIAH,2016
116,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,NIAGA,0,RUPIAH,2016
117,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,BJB,27389900,RUPIAH,2016
118,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,BCA,4074800,RUPIAH,2016
119,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,BNI,11525500,RUPIAH,2016
120,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,BRI,14879400,RUPIAH,2016
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,PERMATA,0,RUPIAH,2016
