id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_kendaraan,fungsi_kendaraan,jumlah_kendaraan,satuan,tahun
3963,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"SEDAN, JEEP, MINIBUS",UMUM,302,UNIT,2020
3964,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"BUS, MICROBUS",PRIBADI,56,UNIT,2020
3965,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"BUS, MICROBUS",DINAS,1,UNIT,2020
3966,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"BUS, MICROBUS",UMUM,102,UNIT,2020
3967,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"TRUCK, PICK UP",PRIBADI,1277,UNIT,2020
3968,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"TRUCK, PICK UP",DINAS,7,UNIT,2020
3969,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"TRUCK, PICK UP",UMUM,81,UNIT,2020
3970,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,ALAT BERAT,PRIBADI,0,UNIT,2020
3971,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,ALAT BERAT,DINAS,0,UNIT,2020
3972,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,ALAT BERAT,UMUM,0,UNIT,2020
3973,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"SEPEDA MOTOR, SCOOTER",PRIBADI,58290,UNIT,2020
3974,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"SEPEDA MOTOR, SCOOTER",DINAS,146,UNIT,2020
3975,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG III SOETA,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2020
3976,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"SEDAN, JEEP, MINIBUS",PRIBADI,1727,UNIT,2020
3977,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"SEDAN, JEEP, MINIBUS",DINAS,14,UNIT,2020
3978,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"SEDAN, JEEP, MINIBUS",UMUM,286,UNIT,2020
3979,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"BUS, MICROBUS",PRIBADI,12,UNIT,2020
3980,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"BUS, MICROBUS",DINAS,1,UNIT,2020
3981,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"BUS, MICROBUS",UMUM,21,UNIT,2020
3982,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"TRUCK, PICK UP",PRIBADI,987,UNIT,2020
3983,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"TRUCK, PICK UP",DINAS,14,UNIT,2020
3984,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"TRUCK, PICK UP",UMUM,697,UNIT,2020
3985,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,ALAT BERAT,PRIBADI,0,UNIT,2020
3986,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,ALAT BERAT,DINAS,0,UNIT,2020
3987,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,ALAT BERAT,UMUM,2,UNIT,2020
3988,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"SEPEDA MOTOR, SCOOTER",PRIBADI,29250,UNIT,2020
3989,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"SEPEDA MOTOR, SCOOTER",DINAS,123,UNIT,2020
3990,32,JAWA BARAT,3274,KOTA CIREBON, KOTA CIREBON,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2020
3991,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"SEDAN, JEEP, MINIBUS",PRIBADI,31113,UNIT,2020
3992,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"SEDAN, JEEP, MINIBUS",DINAS,222,UNIT,2020
3993,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"SEDAN, JEEP, MINIBUS",UMUM,3389,UNIT,2020
3994,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"BUS, MICROBUS",PRIBADI,126,UNIT,2020
3995,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"BUS, MICROBUS",DINAS,12,UNIT,2020
3996,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"BUS, MICROBUS",UMUM,631,UNIT,2020
3997,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"TRUCK, PICK UP",PRIBADI,5743,UNIT,2020
3998,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"TRUCK, PICK UP",DINAS,97,UNIT,2020
3999,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"TRUCK, PICK UP",UMUM,1299,UNIT,2020
4000,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,ALAT BERAT,PRIBADI,0,UNIT,2020
4001,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,ALAT BERAT,DINAS,0,UNIT,2020
4002,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,ALAT BERAT,UMUM,0,UNIT,2020
4003,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"SEPEDA MOTOR, SCOOTER",PRIBADI,353912,UNIT,2020
4004,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"SEPEDA MOTOR, SCOOTER",DINAS,1010,UNIT,2020
4005,32,JAWA BARAT,3275,KOTA BEKASI, KOTA BEKASI,"SEPEDA MOTOR, SCOOTER",UMUM,62,UNIT,2020
4006,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,"TRUCK, PICK UP",PRIBADI,11932,UNIT,2020
4007,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,"TRUCK, PICK UP",DINAS,7,UNIT,2020
4008,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,"TRUCK, PICK UP",UMUM,1281,UNIT,2020
4009,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,ALAT BERAT,PRIBADI,38,UNIT,2020
4010,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,ALAT BERAT,DINAS,6,UNIT,2020
4011,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,ALAT BERAT,UMUM,24,UNIT,2020
4012,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,ALAT BERAT,PRIBADI,2045,UNIT,2020
4013,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,ALAT BERAT,DINAS,6,UNIT,2020
4014,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,ALAT BERAT,UMUM,53,UNIT,2020
4015,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,"SEPEDA MOTOR, SCOOTER",PRIBADI,3,UNIT,2020
4016,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,"SEPEDA MOTOR, SCOOTER",DINAS,0,UNIT,2020
4017,32,JAWA BARAT,3276,KOTA DEPOK, KOTA DEPOK I,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2020
